embedding,model,accuracy,macro_f1,seed
bow,nb,0.9814,0.9816,42
tfidf,nb,0.9685,0.9682,42
bow,nb,0.9814,0.9816,42
tfidf,nb,0.9685,0.9682,42
word2vec,nb,0.4431,0.4176,42
glove,nb,0.3044,0.1845,42
bow,nb,0.9814,0.9816,42
bow,rf,1.0,1.0,42
bow,mlp,1.0,1.0,42
bow,logreg,1.0,1.0,42
tfidf,nb,0.9685,0.9682,42
tfidf,rf,1.0,1.0,42
tfidf,mlp,1.0,1.0,42
tfidf,logreg,0.9903,0.9903,42
word2vec,nb,0.4346,0.4032,42
word2vec,rf,1.0,1.0,42
word2vec,mlp,0.8144,0.8126,42
word2vec,logreg,0.743,0.7403,42
glove,nb,0.3044,0.1845,42
glove,rf,1.0,1.0,42
glove,mlp,0.8981,0.8941,42
glove,logreg,0.864,0.8582,42
